,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,Adjectives_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,1532.b5.txt,1504.97,1237.59,328.5,397.25,23,0,1
1,2034.b5.txt,1513.11,951.31,434.46,741.57,33,0,3
2,0165.b5.txt,1704.38,961.81,396.04,657.71,22,0,0
3,0200.b5.txt,1686.3,991.94,520.77,688.16,20,0,1
4,0310.b5.txt,1551.61,1025.97,512.98,791.64,15,0,2
5,2019.b5.txt,1369.65,1128.4,326.85,490.27,33,0,3
6,1023.b5.txt,1368.48,1226.3,586.49,657.58,56,2,2
7,0103.b5.txt,1742.7,1066.12,363.92,830.34,33,0,1
8,3018.b5.txt,1467.53,1006.49,525.97,701.3,32,0,27
9,1533.b5.txt,1500.62,1201.31,422.3,479.7,61,0,5
10,2066.b5.txt,1295.55,1384.62,364.37,526.32,54,0,3
11,1057.b5.txt,1566.95,974.36,450.14,786.32,38,0,1
12,0140.b5.txt,1396.54,1018.58,493.27,557.34,58,0,2
13,2028.b5.txt,1303.36,1331.82,381.33,461.01,42,0,31
14,1003.b5.txt,1518.11,1121.17,417.83,529.25,35,0,3
15,1021.b5.txt,1749.84,1017.06,290.59,581.17,18,1,4
16,2032.b5.txt,975.86,1222.33,503.02,523.14,39,1,19
17,0300.b5.txt,1765.93,810.25,408.59,747.92,29,1,11
18,3020.b5.txt,1691.42,816.83,280.53,783.83,28,0,2
19,1100.b5.txt,1753.39,1083.39,335.0,705.63,27,0,4
20,1508.b5.txt,1220.3,1162.49,430.31,404.62,68,0,5
