,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,Adjectives_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,3525.b2.txt,1800.23,1103.37,406.5,813.01,6,0,5
1,2066.b2.txt,2111.96,1157.76,496.18,903.31,3,0,10
2,0200.b2.txt,1758.03,1134.22,595.46,1020.79,4,0,18
3,4036.b2.txt,1686.42,975.39,437.56,765.72,19,2,9
4,3020.b2.txt,1792.36,1087.17,254.65,548.48,12,0,3
5,2019.b2.txt,1634.38,1162.23,556.9,799.03,1,0,1
6,4038.b2.txt,1958.12,1329.84,502.62,523.56,9,0,5
7,0300.b2.txt,1735.61,1312.95,368.71,818.35,2,0,5
8,3509.b2.txt,1902.34,1007.12,508.65,783.32,7,0,4
9,2032.b2.txt,1929.82,1052.63,350.88,760.23,2,0,5
10,1104.b2.txt,1868.88,1056.75,469.67,547.95,10,0,1
11,3518.b2.txt,1286.73,1276.6,314.08,557.24,19,1,21
12,2030.b2.txt,1565.84,1364.18,557.53,593.12,0,0,0
13,0140.b2.txt,1973.95,991.98,511.02,591.18,7,0,2
14,1528.b2.txt,1696.43,1044.64,285.71,821.43,20,0,0
15,0134.b2.txt,1725.89,922.17,626.06,1184.43,9,0,2
16,3508.b2.txt,2029.22,1071.43,340.91,827.92,6,0,1
17,1520.b2.txt,1757.88,1194.03,422.89,613.6,18,0,3
18,1112.b2.txt,1869.09,922.71,347.0,583.6,31,0,5
19,1021.b2.txt,1974.87,1032.32,350.09,637.34,17,0,3
20,2070.b2.txt,1638.86,1177.63,490.68,726.2,9,0,4
21,1097.b2.txt,1751.5,988.02,523.95,681.14,5,0,5
22,3519.b2.txt,1645.45,1200.0,381.82,663.64,6,0,0
23,3520.b2.txt,1984.13,1071.43,349.21,682.54,7,0,4
24,1023.b2.txt,1506.23,939.98,475.65,702.15,21,3,15
25,1006.b2i.txt,1805.7,1003.17,443.51,633.58,0,0,3
26,0310.b2.txt,2299.9,942.25,445.8,506.59,7,0,2
27,1541.b2.txt,2000.0,869.11,596.86,890.05,11,0,1
28,3506.b2.txt,1803.46,1058.32,410.37,583.15,12,0,1
29,1532.b2.txt,1474.36,979.85,503.66,906.59,14,4,18
30,3013.b2.txt,1572.63,996.4,396.16,684.27,16,0,14
31,2034.b2.txt,1767.37,1042.3,513.6,528.7,4,0,7
32,2070.b2i.txt,1634.05,1174.17,489.24,724.07,10,0,4
33,0103.b2.txt,2060.66,1088.31,374.67,562.0,4,0,4
34,0165.b2.txt,1907.72,1011.54,301.69,754.21,1,0,0
35,1508.b2.txt,1446.24,1341.58,313.99,599.43,13,0,2
36,3507.b2.txt,1673.57,977.63,364.54,944.49,13,0,3
37,3511.b2.txt,1925.52,1108.08,399.64,572.21,5,0,23
38,1057.b2.txt,1780.62,1119.46,488.35,706.24,1,0,3
39,0139.b2.txt,1537.62,1232.28,468.92,894.22,2,0,11
40,3504.b2.txt,2066.35,1071.09,322.27,663.51,6,0,3
41,2028.b2.txt,1888.76,1286.21,359.21,799.54,2,0,0
42,1003.b2.txt,1794.54,1196.36,377.11,793.24,7,0,3
43,2012.b2.txt,1812.3,884.57,215.75,755.12,8,0,2
44,3523.b2.txt,2272.33,1167.11,327.14,689.66,3,0,11
45,0313.b2.txt,1509.73,1035.02,474.71,871.6,7,2,8
46,3505.b2.txt,1853.45,1174.57,420.26,754.31,5,0,1
47,1006.b2.txt,1805.7,1003.17,443.51,633.58,0,0,3
48,3501.b2.txt,1696.91,896.48,266.81,608.32,8,0,11
49,1533.b2.txt,1792.25,1199.71,299.93,709.58,8,0,5
50,0308.b2.txt,1561.73,1005.72,637.78,907.6,6,0,15
51,3503.b2.txt,2104.07,938.91,350.68,757.92,11,2,10
52,1100.b2.txt,1504.02,1056.26,459.24,734.79,10,0,4
53,2028.b2i.txt,1867.12,1271.48,355.1,790.38,2,0,0
54,1104.b2i.txt,1868.88,1056.75,469.67,547.95,10,0,1
55,3522.b2.txt,1929.82,1052.63,538.85,789.47,10,0,0
56,4012.b2.txt,1963.25,1063.83,464.22,638.3,0,0,0
