,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,Adjectives_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,2076.a4.txt,1453.83,1168.96,451.87,589.39,34,0,1
1,1094.a4.txt,1185.73,1175.24,587.62,566.63,28,2,1
2,1121.a4.txt,1568.1,1075.27,537.63,564.52,36,0,3
3,2028.a4.txt,1724.14,1120.69,344.83,665.71,29,1,3
4,3062.a4.txt,1729.13,954.0,485.52,766.61,16,0,4
5,2035.a4.txt,1458.94,1140.1,444.44,376.81,3,0,9
6,0237.a4.txt,1482.65,1198.74,462.67,736.07,7,0,1
7,4028.a4.txt,1462.17,1288.34,501.02,521.47,19,0,3
8,2012.a4.txt,1625.41,1014.85,288.78,651.82,31,0,5
9,0110.a4.txt,1788.99,1146.79,332.57,607.8,3,0,5
10,2046.a4.txt,1397.13,1043.06,421.05,717.7,30,0,3
11,1064.a4.txt,1574.47,1038.3,434.04,612.77,30,0,3
12,1081.a4.txt,1561.64,1095.89,255.71,602.74,39,0,3
13,1012.a4.txt,1739.13,948.62,355.73,770.75,19,0,5
14,0199.a4.txt,1639.16,946.09,407.04,726.07,29,0,7
15,0213.a4.txt,1728.4,1059.67,483.54,504.12,4,1,11
16,1102.a4.txt,1404.72,1090.37,422.4,795.68,17,1,6
17,0120.a4.txt,1263.79,1364.09,330.99,541.62,10,0,10
18,0111.a4.txt,1425.58,1215.93,387.84,670.86,7,0,10
19,0178.a4.txt,1733.0,1061.36,447.76,704.81,7,0,9
20,2017.a4.txt,1661.81,1059.28,427.6,621.96,19,0,0
21,0161.a4.txt,1634.24,1079.77,282.1,729.57,8,0,21
22,0222.a4.txt,1675.28,1209.93,423.99,599.79,5,0,5
23,0200.a4.txt,1474.56,1298.03,643.82,550.36,5,0,6
24,0190.a4.txt,1338.83,1040.16,339.86,473.74,19,1,21
25,3020.a4.txt,1422.68,1195.88,556.7,505.15,15,0,0
26,1070.a4.txt,1239.04,1239.04,668.86,383.77,11,0,5
27,0204.a4.txt,1478.06,1073.9,369.52,531.18,31,0,4
28,2018.a4.txt,1765.31,1020.41,438.78,734.69,22,0,3
29,0158.a4.txt,1399.63,1086.56,561.69,672.19,23,0,1
30,2064.a4.txt,1424.02,1179.6,350.69,531.35,42,0,0
31,1055.a4.txt,1470.59,996.2,417.46,597.72,32,3,2
32,4023.a4.txt,1301.44,1129.19,555.02,612.44,26,1,0
33,2062.a4.txt,1229.59,1210.37,413.06,605.19,35,0,1
34,2067.a4.txt,1290.32,1092.61,426.64,572.32,34,0,1
35,0206.a4.txt,1158.83,1037.28,421.39,632.09,9,0,19
36,0128.a4.txt,1833.84,1094.22,385.01,516.72,3,0,7
37,1076.a4.txt,1560.04,1042.94,289.22,587.2,28,1,1
38,0214.a4.txt,1254.09,1297.71,599.78,545.26,13,0,6
39,0188.a4.txt,1675.87,1003.68,460.41,607.73,12,0,2
40,0234.a4.txt,1631.13,980.81,522.39,746.27,10,0,11
41,0140.a4.txt,1411.76,1037.43,438.5,545.45,16,0,15
42,1009.a4.txt,1694.17,1045.1,374.04,561.06,19,0,5
43,0112.a4.txt,1430.03,1174.67,388.15,541.37,7,0,20
44,0216.a4.txt,1445.68,1300.26,290.85,470.49,52,0,13
45,0115.a4.txt,1872.95,843.37,514.79,711.94,16,0,24
46,1021.a4.txt,1626.02,1002.71,447.15,813.01,31,0,0
47,0127.a4.txt,1236.87,1131.86,641.77,525.09,24,0,17
48,3003.a4.txt,1817.42,1113.9,326.63,711.89,29,0,0
49,0224.a4.txt,1319.23,1120.1,367.14,665.84,35,0,11
50,0103.a4.txt,992.46,1183.98,296.0,412.07,36,0,4
51,0194.a4.txt,1675.03,1173.52,391.17,571.72,9,0,11
52,2030.a4.txt,1395.55,1258.56,419.52,479.45,37,0,2
53,0219.a4.txt,1228.99,1186.97,619.75,766.81,24,0,6
54,0177.a4.txt,1093.08,1400.51,512.38,734.42,10,0,11
55,0235.a4.txt,1461.62,1156.68,294.43,651.95,22,0,14
56,4034.a4.txt,1379.31,1369.17,537.53,608.52,10,0,4
57,1100.a4.txt,1422.64,1100.73,425.75,612.67,6,0,23
58,2007.a4.txt,1405.62,1104.42,441.77,471.89,10,1,17
59,0195.a4.txt,1597.29,1122.94,319.46,377.54,17,0,22
60,1074.a4.txt,1393.67,1040.72,452.49,742.08,31,0,3
61,2000.a4.txt,1786.45,944.56,441.48,636.55,39,0,2
62,0208.a4.txt,1022.57,1389.28,571.23,507.76,38,0,4
63,2050.a4.txt,1434.34,1080.81,212.12,696.97,31,0,1
64,1068.a4.txt,2137.77,962.0,237.53,665.08,17,0,6
65,0205.a4.txt,1404.49,1059.39,465.49,529.7,36,0,9
66,1112.a4.txt,1447.62,1133.33,533.33,609.52,30,0,1
67,2061.a4.txt,1316.79,1011.45,353.05,725.19,23,1,10
68,0102.a4.txt,1558.32,1108.99,344.17,564.05,38,0,16
69,0135.a4.txt,1677.42,1000.0,569.89,709.68,31,0,4
70,2024.a4.txt,1341.34,1221.22,490.49,550.55,39,0,1
71,2022.a4.txt,1473.95,1219.82,355.78,495.55,24,0,2
72,0196.a4.txt,1243.24,1196.91,416.99,579.15,16,0,15
73,0227.a4.txt,1738.46,1115.38,323.08,407.69,35,0,10
74,5009.a4.txt,1413.61,1014.4,320.68,693.72,39,0,1
75,0105.a4.txt,1420.52,1138.67,721.53,541.15,9,0,3
76,1061.a4.txt,1448.73,1157.1,366.89,564.44,30,0,4
77,1048.a4.txt,1432.41,1307.07,564.01,528.2,39,0,3
78,0238.a4.txt,1487.76,1299.44,310.73,470.81,30,0,1
