,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,Adjectives_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
89,1043.a5.txt,1471.86,1108.23,536.8,632.03,12,1,0
90,0121.a5.txt,1541.99,1023.62,380.58,610.24,19,0,6
91,0128.a5.txt,1940.44,1123.92,480.31,826.13,1,7,0
92,0106.a5.txt,1990.43,956.94,650.72,842.11,2,0,0
93,1064.a5.txt,2175.66,1232.88,580.18,604.35,3,0,2
94,0219.a5.txt,2055.66,987.43,601.44,888.69,3,0,3
95,0188.a5.txt,1557.44,1048.57,454.9,747.88,8,1,2
96,0192.a5.txt,1663.87,1109.24,436.97,647.06,15,2,7
97,0107.a5.txt,1994.84,1212.38,541.7,773.86,3,0,0
98,1018.a5.txt,2032.59,951.97,274.44,891.94,10,2,0
99,0140.a5.txt,1713.0,1022.42,278.03,627.8,14,8,12
100,1067.a5.txt,1742.81,1057.53,338.41,634.52,19,11,5
101,2007.a5.txt,1531.63,865.7,554.94,699.22,8,6,2
102,0234.a5.txt,1586.09,916.03,330.79,508.91,14,7,4
103,1014.a5.txt,1847.91,1005.72,351.59,784.96,21,13,4
104,2048.a5.txt,1485.07,761.19,320.9,1029.85,22,1,5
105,2036.a5.txt,1813.27,1118.83,439.81,617.28,25,0,4
106,2075.a5.txt,1986.94,811.11,413.72,620.58,13,6,4
107,0185.a5.txt,1802.03,1040.61,219.97,719.12,4,8,3
108,2045.a5.txt,1910.71,1026.79,321.43,732.14,9,2,2
109,1057.a5.txt,1369.53,1199.35,340.36,607.78,9,2,2
110,1021.a5.txt,1818.18,1126.76,396.93,665.81,4,0,6
111,2058.a5.txt,1435.11,931.3,343.51,618.32,26,2,5
112,0134.a5.txt,1749.02,980.39,470.59,705.88,20,4,7
113,0111.a5.txt,1666.67,1037.04,305.56,675.93,9,9,4
