,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,Adjectives_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,0133.b3.txt,1309.47,765.75,357.95,557.32,78,7,22
1,0300.b3.txt,1596.64,840.34,291.65,800.79,32,1,54
2,0200.b3.txt,1786.18,801.83,417.21,834.42,21,0,5
3,1097.b3.txt,1589.15,833.33,528.1,901.16,19,2,10
4,0165.b3.txt,1715.14,654.33,247.85,627.89,70,0,39
5,0140.b3.txt,2690.7,645.43,276.61,578.37,16,0,2
6,0130.b3.txt,1579.75,756.65,424.34,690.18,23,5,15
7,1100.b3.txt,1619.87,741.54,302.38,655.15,20,2,3
8,1082.b3.txt,2104.92,673.58,317.36,884.07,13,2,17
9,0307.b3.txt,1616.6,737.3,229.38,764.61,16,6,25
10,1532.b3.txt,1622.66,844.94,364.86,662.51,20,4,24
11,0304.b3.txt,1696.49,837.51,436.65,608.45,31,4,9
12,0103.b3.txt,1858.7,559.29,243.9,588.73,32,1,42
13,0303.b3.txt,1529.93,753.88,421.29,798.23,2,0,2
14,2018.b3.txt,1778.68,1025.49,295.48,672.07,16,0,14
15,1066.b3.txt,1708.86,880.8,427.22,954.64,11,0,16
16,1023.b3.txt,1262.76,720.66,446.43,765.31,14,0,19
17,1057.b3.txt,1802.85,947.95,366.39,648.44,28,1,15
18,0310.b3.txt,1748.57,716.63,561.02,802.62,26,8,15
19,0105.b3.txt,1396.32,861.2,392.98,752.51,9,0,17
20,0134.b3.txt,1560.69,936.42,809.25,803.47,15,0,15
21,0122.b3.txt,1400.1,792.03,260.6,597.85,17,3,39
22,0313.b3.txt,1713.04,544.52,278.22,767.09,5,4,16
23,0171.b3.txt,1618.75,787.5,312.5,812.5,15,0,20
24,2034.b3.txt,1425.58,1137.32,393.08,602.73,18,0,16
25,1520.b3.txt,1178.33,772.01,284.42,528.22,33,1,66
26,1102.b3.txt,1678.89,703.81,432.55,916.42,4,4,4
27,1069.b3.txt,1456.25,704.64,396.36,651.79,45,2,34
28,0139.b3.txt,1959.06,836.26,362.57,836.26,20,1,9
29,1112.b3.txt,1589.09,898.88,457.46,818.62,12,0,11
30,1534.b3.txt,1704.04,829.6,497.76,968.61,20,0,9
31,1508.b3.txt,1546.39,880.97,309.28,641.99,80,1,24
32,1533.b3.txt,1708.3,890.41,338.44,705.08,15,0,23
33,1536.b3.txt,1825.95,742.12,464.5,678.06,16,4,7
34,0308.b3.txt,1762.48,897.03,701.2,840.18,13,1,6
