,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,Adjectives_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,2007.a2.txt,1803.46,1015.12,442.76,907.13,11,0,12
1,0100.a2.txt,2084.85,1284.85,351.52,787.88,1,0,2
2,1044.a2.txt,1497.23,859.52,674.68,804.07,3,2,6
3,0167.a2.txt,1753.6,935.25,602.52,827.34,0,0,1
4,4024.a2.txt,1780.66,978.77,601.42,849.06,0,0,0
5,0195.a2.txt,1262.02,1057.69,480.77,564.9,1,6,25
6,5036.a2.txt,2104.58,1032.68,287.58,875.82,0,0,0
7,2050.a2.txt,2298.99,992.46,376.88,929.65,0,0,2
8,5023.a2.txt,1622.75,1192.79,679.61,651.87,0,0,0
9,1031.a2.txt,2130.28,985.92,316.9,686.62,0,0,4
10,5002.a2.txt,1492.86,1240.4,504.94,647.64,0,2,1
11,0118.a2.txt,1737.93,1420.69,427.59,841.38,1,0,1
12,0197.a2.txt,1817.03,940.28,597.2,749.68,1,0,0
13,1090.a2.txt,1961.38,1209.35,508.13,609.76,0,0,3
14,0148.a2.txt,1930.64,1098.27,427.75,520.23,0,7,9
15,2074.a2.txt,2030.52,938.97,504.69,927.23,2,6,11
16,5021.a2.txt,1829.55,1147.73,454.55,613.64,0,0,0
17,0205.a2.txt,1997.96,1019.37,448.52,805.3,3,0,5
18,0232.a2.txt,1573.03,1248.44,711.61,699.13,0,0,0
19,1062.a2.txt,2067.42,1022.47,438.2,719.1,0,0,1
20,1026.a2.txt,1491.97,1384.85,283.09,604.44,0,0,1
21,0121.a2.txt,2041.52,761.25,415.22,738.18,2,3,1
22,0208.a2.txt,1686.31,1305.53,553.04,734.36,6,0,0
23,2072.a2.txt,1919.06,1135.77,587.47,496.08,0,0,0
24,3012.a2.txt,1495.45,1131.34,533.16,611.18,0,0,1
25,0134.a2.txt,1774.0,814.09,729.04,935.6,0,0,0
26,5007.a2.txt,2053.14,1014.49,241.55,797.1,1,0,0
27,1102.a2.txt,1821.27,1153.85,452.49,701.36,0,2,0
28,3003.a2.txt,2054.79,948.37,410.96,1085.35,0,0,3
29,5029.a2.txt,1921.12,1208.65,470.74,674.3,1,0,1
30,1064.a2.txt,1881.19,1051.98,693.07,705.45,0,0,5
31,4013.a2.txt,2016.55,1127.2,413.65,816.96,2,0,0
32,3036.a2.txt,2299.47,1163.1,374.33,695.19,0,0,0
33,0105.a2.txt,1761.01,1245.28,578.62,867.92,0,0,2
34,3067.a2.txt,1943.73,1112.53,358.06,741.69,1,14,0
35,2018.a2.txt,2388.76,1065.57,433.26,1018.74,3,0,1
36,0101.a2.txt,2063.69,942.68,713.38,547.77,0,0,0
37,0200.a2.txt,1643.99,1303.85,555.56,691.61,0,2,18
38,3044.a2.txt,1449.81,1040.89,446.1,780.67,0,2,23
39,0193.a2.txt,2132.75,1207.83,413.49,837.87,0,1,3
40,3018.a2.txt,2004.38,1182.91,613.36,1040.53,1,0,2
41,5005.a2.txt,1739.13,1116.33,446.53,611.05,0,0,0
42,2022.a2.txt,1421.25,729.83,345.71,870.68,5,0,20
43,5017.a2.txt,1802.33,1081.4,604.65,965.12,2,0,0
44,0231.a2.txt,2065.83,1123.72,419.98,556.19,1,0,2
45,0122.a2.txt,1843.19,1059.15,467.68,729.02,1,0,6
46,2039.a2.txt,1986.53,1099.89,594.84,819.3,0,1,0
47,1088.a2.txt,1891.89,1114.86,450.45,934.68,0,0,0
48,4037.a2.txt,2261.31,1030.15,251.26,603.02,0,0,0
49,0135.a2.txt,1831.8,1013.82,506.91,875.58,1,0,3
50,0238.a2.txt,1844.06,1250.0,495.05,569.31,0,0,0
51,2024.a2.txt,1693.65,1257.78,485.68,971.36,0,0,1
52,3040.a2.txt,1600.0,1296.97,545.45,569.7,0,0,1
53,0112.a2.txt,2188.59,1012.81,477.3,768.34,0,0,1
54,3065.a2.txt,2311.83,1155.91,524.19,981.18,1,0,0
55,0215.a2.txt,1656.37,1384.43,457.35,951.79,0,0,0
56,5049.a2.txt,1829.44,1155.43,687.76,660.25,0,2,1
57,0186.a2.txt,1611.32,1303.81,639.61,627.31,0,0,0
58,0227.a2.txt,1863.84,892.86,535.71,970.98,0,1,0
59,2075.a2.txt,2030.15,904.52,512.56,984.92,2,0,1
60,2016.a2.txt,2098.09,1212.53,517.71,735.69,0,0,3
61,4042.a2.txt,2020.73,1152.85,284.97,595.85,0,0,0
62,2057.a2.txt,1786.24,1127.38,585.65,717.42,0,1,0
63,5027.a2.txt,1415.82,1109.69,471.94,688.78,0,0,0
64,2056.a2.txt,1380.24,1163.73,635.99,906.63,0,0,0
65,0162.a2.txt,1992.29,1208.23,359.9,719.79,0,0,0
66,0209.a2.txt,2295.48,879.12,268.62,744.81,2,0,0
67,5038.a2.txt,1994.95,1035.35,530.3,946.97,1,0,0
68,4032.a2.txt,2035.31,1007.27,539.98,965.73,0,1,2
69,0224.a2.txt,1732.1,1085.45,357.97,450.35,16,0,1
70,4010.a2.txt,2004.95,1076.73,495.05,1014.85,0,0,0
71,2005.a2.txt,2036.84,1180.93,465.87,715.06,1,0,2
72,3072.a2.txt,1859.96,973.74,601.75,809.63,1,0,0
73,0120.a2.txt,1898.09,1184.71,535.03,751.59,0,3,0
74,3026.a2.txt,2249.74,1093.91,454.08,629.51,0,0,1
75,0159.a2.txt,1797.62,1047.62,738.1,833.33,0,0,0
76,5042.a2.txt,2264.38,1138.31,330.48,758.87,0,0,0
77,0180.a2.txt,1982.38,1167.4,605.73,638.77,1,0,0
78,3041.a2.txt,2227.43,1090.27,269.64,633.06,1,1,2
79,1049.a2.txt,2438.71,1032.26,438.71,890.32,0,0,1
80,0109.a2.txt,1610.39,1181.82,363.64,610.39,3,0,2
81,0222.a2.txt,1926.49,1153.36,392.9,608.37,3,11,2
82,4030.a2.txt,1918.47,971.22,743.41,611.51,1,0,0
83,4029.a2.txt,1950.21,1230.98,414.94,553.25,3,0,15
84,0182.a2.txt,1644.63,975.21,454.55,842.98,4,1,33
85,2070.a2.txt,1571.59,1094.3,419.09,733.41,1,1,2
86,0131.a2.txt,2252.14,1138.31,563.04,587.52,0,0,1
87,0102.a2.txt,1812.8,1125.59,675.36,651.66,0,1,1
88,5031.a2.txt,2297.51,989.1,654.21,708.72,0,0,0
89,5045.a2.txt,1983.17,973.56,420.67,829.33,1,16,4
90,4020.a2.txt,1614.58,963.54,481.77,755.21,4,0,3
91,0107.a2.txt,1607.75,1311.29,535.92,741.16,2,0,3
92,2062.a2.txt,1656.8,1207.1,662.72,686.39,1,0,0
93,0169.a2.txt,1831.98,1123.48,526.32,1234.82,1,0,1
94,5026.a2.txt,1688.47,1022.59,606.42,820.45,0,2,14
95,0111.a2.txt,1914.29,1371.43,671.43,500.0,0,0,0
96,4023.a2.txt,1522.31,1430.45,485.56,538.06,1,0,0
97,2040.a2.txt,1930.42,1099.89,404.04,718.29,6,0,4
98,0127.a2.txt,1968.16,1143.27,709.12,824.89,1,1,1
99,5016.a2.txt,1719.65,1228.32,187.86,606.94,0,0,0
100,5034.a2.txt,1811.22,1262.76,484.69,841.84,4,0,2
101,0214.a2.txt,1916.1,963.72,589.57,861.68,1,1,1
102,5018.a2.txt,1749.41,1099.29,614.66,827.42,0,0,0
103,5039.a2.txt,1812.42,937.9,418.25,811.15,1,1,15
104,0150.a2.txt,1636.36,1376.62,454.55,636.36,0,0,0
105,1058.a2.txt,2199.71,1215.63,651.23,824.89,0,0,4
106,2047.a2.txt,2112.17,978.52,358.0,1217.18,0,0,2
107,0115.a2.txt,2162.85,1259.54,636.13,674.3,0,0,1
108,2031.a2.txt,1834.65,1053.23,634.2,973.95,0,0,1
109,0216.a2.txt,1640.09,1116.17,261.96,933.94,0,0,1
110,5022.a2.txt,1865.28,906.74,544.04,984.46,0,0,0
111,0192.a2.txt,1916.38,1173.05,627.18,545.88,1,0,1
112,1077.a2.txt,1826.2,1045.34,566.75,768.26,4,0,6
113,4022.a2.txt,1949.27,1268.36,427.24,574.1,0,0,0
114,2071.a2.txt,1496.26,1558.6,436.41,573.57,0,0,0
